caseID,cgIn,iyKgm2,clDeltaE,actuatorTau_s,isStable,fastModeWn,fastModeZeta,phaseMargin_deg,gainMargin_dB,gainCrossover_radps,innerNonPhugoidFrequency,bandwidthSeparationRatio,overshoot_pct,riseTime_s,settlingTime_s,peakPitchRate_degps,peakActuator_deg,peakActuatorRate_degps,peakUnsaturatedDemand_deg,peakSpeedPerturbationFraction,peakAlphaPerturbation_deg,finalAttitudeError_deg,maximumAttitudeDifferenceFromIdeal_deg
44,44.15,1800,0.5,0.035,1,6.8843657292685,0.76426594491369,55.6421467098327,25.8356948126981,1.16167558090074,6.74432723043834,5.80568907647084,0,2.82,23.03,0.347642062636518,0.442912681801655,0.190441163323486,0.442983676625425,0.0662010591416599,0.594797197620989,0.00468351540566503,0.00682336382749672
45,44.15,1800,0.5,0.05,1,7.1981375725716,0.754358167558174,54.854003336187,23.4227906138807,1.1607125435288,7.70638023833066,6.63935293996371,0,2.79,23.02,0.349819505062712,0.442914258539093,0.183804880496866,0.443015679348816,0.0662013010834189,0.594799332916939,0.00468073893017987,0.00868938375854685
46,44.15,1828.6803192735,0.3,0.02,1,6.59802897961707,0.76026772423057,56.3205145233956,29.8874064729462,1.17852947314095,6.34392638329125,5.38291704015154,0,2.83,22.43,0.34801820153688,0.432831555756355,0.199737421178013,0.432871543140461,0.0665705307213191,0.581257541024963,0.00461805962072144,0.00516863611206188
47,44.15,1828.6803192735,0.3,0.035,1,6.82322612265502,0.758056421285535,55.5288415815511,25.7119138772488,1.17771615900199,6.6940695462198,5.68394132580506,0,2.81,22.42,0.350195592843865,0.432833051029757,0.1906540864596,0.432903028728222,0.0665707668573709,0.581259566377091,0.00461534187081087,0.00685615913693296
48,44.15,1828.6803192735,0.3,0.05,1,7.11806059984858,0.747785662114188,54.7355481550558,23.2899883537617,1.17674412995606,7.54040093703459,6.40785090410109,0,2.79,22.41,0.352410824722148,0.432834546368065,0.183999533305147,0.432934514189132,0.066571003004095,0.581261591818039,0.00461262399221624,0.00872506275030657
49,44.15,1828.6803192735,0.427,0.02,1,6.59225417277739,0.761125300334886,56.3440005805295,29.9435520056867,1.16845566453589,6.33134383430925,5.41855718318935,0,2.83,22.82,0.346565769495187,0.439178425404288,0.199794480542918,0.439218780729428,0.0663377926376682,0.589781813977077,0.00466124424476253,0.00514744877684991
50,44.15,1828.6803192735,0.427,0.035,1,6.81744723840356,0.759072391188217,55.5556557923585,25.7701769412363,1.16764729250067,6.68055717422022,5.72138283292119,0,2.81,22.81,0.348722313307015,0.439179971629887,0.190752660564738,0.439250593204529,0.0663380324239559,0.589783908092607,0.00465848956612113,0.00684011719301814
51,44.15,1828.6803192735,0.427,0.05,1,7.11319818598896,0.749031787597453,54.7656987775091,23.3501110879117,1.16668340132262,7.53007562679909,6.45425795743946,0,2.79,22.8,0.350918315467462,0.43918151792395,0.184102522437778,0.439282405538651,0.0663382722212956,0.5897860023018,0.00465573475502116,0.00871030043917928
52,44.15,1828.6803192735,0.5,0.02,1,6.58894558070379,0.761618600052876,56.3584168139819,29.9759122080658,1.16262823560014,6.3241022030179,5.43948788561242,0,2.84,23.04,0.345716413763086,0.442911098526691,0.199827282510735,0.442951667149352,0.0662008168562512,0.594795058793382,0.00468629233518292,0.00513505038240431
53,44.15,1828.6803192735,0.5,0.035,1,6.8141373871873,0.759656578949488,55.5720235971291,25.8037662488945,1.16182290821724,6.67278089142971,5.74337176882558,0,2.82,23.03,0.347862763276411,0.442912675197775,0.190809333048398,0.442983670030464,0.0662010587870336,0.594797193995647,0.00468351599363887,0.00683077671029559
54,44.15,1828.6803192735,0.5,0.05,1,7.11041599390451,0.749748243790363,54.7840227147095,23.3847791512185,1.16086389781606,7.52415375055154,6.48151240184723,0,2.79,23.02,0.350044495505829,0.442914251939356,0.184161733772763,0.443015672761811,0.0662013007290734,0.594799329294347,0.00468073951740449,0.00870142655398593
55,44.15,2300,0.3,0.02,1,5.78663185349137,0.704995566396672,55.1444167436747,29.4926826275394,1.18079134021717,5.59642531530161,4.73955484317182,0,2.8,22.44,0.351740813236281,0.432831442977324,0.203731113359627,0.432871430447776,0.0665705235156554,0.581257473480153,0.00461806958451706,0.00526234192322102
56,44.15,2300,0.3,0.035,1,5.91040743718199,0.699873472897876,54.3551791651707,25.2372270131905,1.18005268165754,5.79445491646345,4.91033578969067,0,2.77,22.43,0.353976065054509,0.432832938315192,0.195635930767151,0.432902916164683,0.0665707596562208,0.581259498873935,0.00461535182340417,0.00699013045192327
57,44.15,2300,0.3,0.05,1,6.05081690843754,0.690029726741283,53.5642413491339,22.7399529613397,1.17915335654269,6.10023946420062,5.17340635155945,0,2.75,22.42,0.356243155718639,0.432834433717922,0.189464709320029,0.432934401754631,0.0665709958074511,0.581261524356463,0.00461263393368078,0.00897069109997665
