caseID,caseCG_in,caseIy_kgm2,caseCLdeltaE,caseTau_s,isStable,verticalSpeedPhaseMargin_deg,altitudePhaseMargin_deg,verticalSpeedCrossover_radps,altitudeCrossover_radps,bandwidthSeparationRatio,smallOvershoot_pct,smallRiseTime_s,smallSettlingTime_s,smallFinalError_ft,smallPeakPitchCommand_deg,smallPeakVerticalSpeed_fpm,smallPeakElevator_deg,smallPeakActuatorRate_degps,smallPeakSpeedFraction,smallPeakAlpha_deg,operationalOvershoot_pct,operationalRiseTime_s,operationalSettlingTime_s,operationalFinalError_ft,operationalPeakPitchCommand_deg,operationalPeakPitch_deg,operationalPeakVerticalSpeed_fpm,operationalPeakElevator_deg,operationalPeakActuatorRate_degps,operationalPeakSpeedFraction,operationalPeakAlpha_deg,verticalSpeedLimitActive,pitchCommandLimitActive,elevatorPositionLimitActive,elevatorRateLimitActive
21,41,2300,0.3,0.05,1,103.200914037546,71.1732242728063,0.573685929534261,0.321773312461077,3.25199806681947,0,14.66,54.54,0.0368651648825371,0.586260919849143,86.3204318345381,0.0985798838806949,0.0582304042024996,0.00740293151415187,0.0814462096123947,0,39.12,69.06,0.458766833869033,1.74414430200239,1.11194955829517,201.0978989852,0.572959209104421,0.277090882373163,0.0644403831882964,0.576615120894089,1,0,0,0
22,41,2300,0.427,0.02,1,103.220349592321,71.0449423999135,0.567229181880935,0.322147285496274,3.21467824270358,0,14.8,56.4,0.040448676392096,0.588393161503867,86.1943055301065,0.0997738465898767,0.0577516662185116,0.00742191889676489,0.0829487754769324,0,39.44,75.36,0.500730295346436,1.74404765099606,1.1140126729725,199.830005405764,0.589131407576197,0.276964630781605,0.0647944764631064,0.593369827246505,1,0,0,0
23,41,2300,0.427,0.035,1,101.909213022005,71.0550371336407,0.575445712875073,0.322154113332549,3.21280447245555,0,14.82,56.18,0.040448961503577,0.589506763751101,86.5073002323154,0.100427711826691,0.0586624494825117,0.00743021171958295,0.0834847522741588,0,39.44,75.34,0.500736628250156,1.7443377507592,1.11405081158693,200.625330399883,0.590090520611613,0.277821467595244,0.0647977983478947,0.594155137808244,1,0,0,0
24,41,2300,0.427,0.05,1,100.537087158149,71.0651352981307,0.583977898804705,0.322160930057776,3.21058146679088,0,14.82,55.94,0.0404492805194799,0.590644433372196,86.8287715823258,0.101092954767465,0.0595973621593144,0.0074390187145388,0.0840320377061418,0,39.44,75.32,0.500743621004109,1.7445769939778,1.1160956216637,201.444247543948,0.591085518298805,0.278083403025364,0.0648011603842947,0.594968323948645,1,0,0,0
25,41,2300,0.5,0.02,1,101.766022706508,70.9779780242961,0.572615201807506,0.322401699976914,3.19039649785537,0,14.9,61.3,0.042739300452133,0.590961927959414,86.4848335971296,0.101256391047089,0.058540718885978,0.00744350262348077,0.0844747993180906,0,39.64,76.42,0.527420932874803,1.74433131694349,1.11930756060475,200.021378369357,0.600032525712357,0.27759058178607,0.065013650283098,0.604417329610117,1,0,0,0
26,41,2300,0.5,0.035,1,100.458819943211,70.9882542461395,0.580682666911107,0.322408738189299,3.18853962227744,0,14.92,61.36,0.042739578295179,0.592082335916274,86.8011493360631,0.101916234326154,0.0594613059818598,0.00745214780637278,0.0850205997596565,0,39.64,76.38,0.527427549801757,1.74460360476557,1.11934740909808,200.818268049575,0.601004303758079,0.278392269879307,0.0650169780210051,0.605215821432385,1,0,0,0
27,41,2300,0.5,0.05,1,99.0939533531891,70.9985340559814,0.589041189012396,0.322415764944627,3.18633978284842,0,14.94,61.38,0.0427399390205496,0.593226908376235,87.1259899037909,0.102590295802778,0.0604079071054618,0.00746132433538758,0.0855745179965156,0,39.66,76.32,0.527436085312066,1.74482610916581,1.11938079756383,201.638689497959,0.60201462413297,0.278655140174075,0.0650203457866688,0.606042062086208,1,0,0,0
28,41,2800,0.3,0.02,1,104.086426863502,71.1787036670543,0.568223385782096,0.321737268805826,3.26186980415054,0,14.64,54.6,0.0368647259602004,0.585465933318518,86.1055514364274,0.0979551251567085,0.0575436574471455,0.00739692363499564,0.0811583406605458,0,39.12,69.12,0.458759075126257,1.74403669488466,1.10868698492789,200.561248637671,0.572247556536498,0.285635287050895,0.0644378818580042,0.576069933358678,1,0,0,0
29,41,2800,0.3,0.035,1,102.707571010492,71.1885557389486,0.577041339099509,0.321743016397281,3.26008633850252,0,14.66,54.46,0.0368649264737125,0.586594170482371,86.4229822432601,0.0986135041265804,0.0584750408747238,0.00740515533308936,0.0816988423474202,0,39.12,69.02,0.458762095075575,1.74432102387405,1.11339035338515,201.383554904515,0.573222075482764,0.286683613128424,0.0644412700084956,0.576865961691828,1,0,0,0
30,41,2800,0.3,0.05,1,101.259489925084,71.1984107292836,0.586226656413107,0.321748753218004,3.25793895324361,0,14.66,54.32,0.0368650881053669,0.587747938400017,86.7493800474868,0.0992835655389074,0.0594323158151989,0.00741389903271502,0.0822479633093767,0,39.12,72.96,0.458763998567288,1.74455506210317,1.1182434097184,202.231214991911,0.57423453593228,0.287062400171813,0.064444702338063,0.577691842117964,1,0,0,0
