delayPlantCaseID,delayAileronTau_s,sensorDelay_s,delayDiskMargin,delayPhaseMargin_deg,delayGainMargin_dB,delayCriticalFrequency_radps
13,0.05,0.06,1.3749653636029,69.015698386301,14.6473047125379,2.18776162394955
13,0.05,0.08,1.31239155646872,66.5454328737899,13.6560093585704,2.2284351492703
13,0.075,0,1.4886528807102,73.3225699883274,16.6788389168436,2.10862814993329
13,0.075,0.01,1.45652330077253,72.1288307816286,16.0691711954735,2.12813904598271
13,0.075,0.02,1.42462664298798,70.925554317465,15.4932696664271,2.14783047413053
13,0.075,0.04,1.36155871770742,68.4924515739291,14.428394809214,2.18776162394955
13,0.075,0.06,1.29950171121406,66.0276626372629,13.460825584596,2.2284351492703
13,0.075,0.08,1.23851010950866,63.5361433907249,12.5736223014935,2.26986485188382
14,0.035,0,1.60069296845476,77.3438222750519,19.101582653815,0.510504999975406
14,0.035,0.01,1.59676308683911,77.2064409360663,19.0070310193668,0.515228644581756
14,0.035,0.02,1.57627073996688,76.4857891314827,18.5268386960097,2.18776162394955
14,0.035,0.04,1.49851820797129,73.6854396904851,16.8725793880061,12.0226443461741
14,0.035,0.06,1.41718520276393,70.6422081821084,15.3627589488392,10.6659612123026
14,0.035,0.08,1.34588161652026,67.8764388411828,14.1770843189973,9.46237161365793
14,0.05,0,1.59447683147055,77.1263964953472,18.9524003422172,2.16770410481969
14,0.05,0.01,1.55939577100234,75.8869342422072,18.146552376796,2.2080047330189
14,0.05,0.02,1.5245594381963,74.6350773179562,17.4001721695408,2.2284351492703
14,0.05,0.04,1.4557234155094,72.0988779456475,16.0543864987892,2.29086765276777
14,0.05,0.06,1.38798164255353,69.5205861088042,14.8635319902077,2.333458062281
14,0.05,0.08,1.32144909446535,66.9074374548508,13.7949033259313,2.37684028662488
14,0.075,0,1.50952943880044,74.0884346920276,17.0927188852033,2.2284351492703
14,0.075,0.01,1.47524888276589,72.8267848546406,16.4206508098127,2.24905460583578
14,0.075,0.02,1.44123588257737,71.554396024292,15.7897186764469,2.29086765276777
14,0.075,0.04,1.37409460840536,68.9818129866131,14.6329712654395,2.333458062281
14,0.075,0.06,1.30819537479919,66.3772124625262,13.5921537773983,2.37684028662488
14,0.075,0.08,1.24357483733768,63.7456580311964,12.6451591062677,2.42102904673618
15,0.035,0,1.60988168548189,77.6640164272012,19.3259325770807,0.496592321450336
15,0.035,0.01,1.60618472968444,77.5353633102441,19.235108359962,0.501187233627272
15,0.035,0.02,1.58208354448082,76.6909381784521,18.6609247747951,13.8038426460289
15,0.035,0.04,1.48546071110772,73.2047867610485,16.6168329933031,12.0226443461741
15,0.035,0.06,1.40218642990069,70.0680732004146,15.1038467779159,10.6659612123026
15,0.035,0.08,1.32913553060693,67.2134623699823,13.9139336928615,9.46237161365793
15,0.05,0,1.60425649754848,77.4681691196963,19.1880379391642,0.505824662003114
15,0.05,0.01,1.57928907624696,76.5923864885705,18.5962597275205,2.333458062281
15,0.05,0.02,1.54226348535445,75.2739141477493,17.7733060778601,2.35504928389601
15,0.05,0.04,1.46052293224057,72.2784316877548,16.1433748654741,10.3752841581801
15,0.05,0.06,1.37997739972726,69.2104738543889,14.7301255247055,9.28966386779936
15,0.05,0.08,1.30837425399807,66.3843901407321,13.5948696158941,8.39459986519397
15,0.075,0,1.52659670798352,74.7088688762499,17.4424904822072,2.35504928389601
15,0.075,0.01,1.49024980370043,73.3814249915846,16.7099821929326,2.37684028662488
15,0.075,0.02,1.45422919127327,72.0428940590416,16.0268169376785,2.42102904673618
15,0.075,0.04,1.38326506524058,69.3379900368519,14.7847494950238,2.46603933723434
15,0.075,0.06,1.31376980718715,66.6006148824799,13.677050287296,2.51188643150958
15,0.075,0.08,1.24574741564975,63.8353862716694,12.6759582613215,2.5822601906346
16,0.035,0,1.50292919769703,73.8471314280267,16.9602621133704,1.97696964011186
