caseID,sideForceScale,rollMomentScale,yawMomentScale,aileronEffectivenessScale,inertiaScale,IxzNormalized,riseTime_s,overshoot_pct,settlingTime_s,finalBankError_deg,peakRollRate_degps,peakAutomaticAileron_deg,peakAutomaticRudder_deg,peakSideslip_deg,peakYawRate_degps,peakAileronRate_degps
563,1.2,0.8,1.2,1.2,1,0,3.28,2.81253693193492,10.12,1.17355959376959e-06,3.48098481152443,0.522366974038784,0.120448328669213,0.254589073888635,1.76445408835957,1.21293575310031
564,1.2,0.8,1.2,1.2,1,0.1,3.32,2.81351631712334,10.14,1.15905012118075e-06,3.46977341654251,0.514250109796439,0.123646737769275,0.256176530839288,1.76476355371321,1.20919653874223
565,1.2,0.8,1.2,1.2,1.2,-0.1,3.26,2.82923308649214,10.1,1.19794726330339e-06,3.54339295335556,0.544272914244859,0.120269754816307,0.254558215621906,1.76474366735743,1.23184252994779
566,1.2,0.8,1.2,1.2,1.2,0,3.28,2.8309599724756,10.12,1.1807398152338e-06,3.53838562567445,0.533642257035668,0.125160824040242,0.256611678308137,1.76509814291886,1.2302902666559
567,1.2,0.8,1.2,1.2,1.2,0.1,3.3,2.83231748529506,10.14,1.16344351041779e-06,3.53193734931268,0.523510904539376,0.130334712801397,0.259049169817315,1.76546207421902,1.22701574792229
568,1.2,1,0.8,0.8,0.8,-0.1,3.3,6.02031525494095,12.24,7.55621875087145e-07,3.18290724939827,0.77716550978431,0.104002608086693,0.30963208657331,1.81506031622307,1.25002439280187
569,1.2,1,0.8,0.8,0.8,0,3.32,6.00774825066609,12.26,8.11173009007873e-07,3.16960178680248,0.766865310289452,0.105137123465077,0.32023942626807,1.81538534803021,1.24755719500089
570,1.2,1,0.8,0.8,0.8,0.1,3.34,5.99514855582682,12.28,8.69977417812301e-07,3.1561147804508,0.756843383167498,0.108090454975894,0.332239429139745,1.81568487606127,1.24353306763062
571,1.2,1,0.8,0.8,1,-0.1,3.28,6.11897284415422,12.24,7.40847230112847e-07,3.22675545154678,0.794258776185725,0.104166054358831,0.309011720231465,1.81741104015168,1.26801391842685
572,1.2,1,0.8,0.8,1,0,3.3,6.10050792518503,12.28,8.09247071828833e-07,3.21579465045399,0.780733163182769,0.10633966419131,0.324396193158808,1.81797829011373,1.266013783436
573,1.2,1,0.8,0.8,1,0.1,3.34,6.0823522040222,12.3,8.82761210486511e-07,3.20482570071835,0.767413103419317,0.109566909479157,0.342033028679732,1.81843529367304,1.2625123578018
574,1.2,1,0.8,0.8,1.2,-0.1,3.26,6.22488507725892,12.24,7.21735542608248e-07,3.26403896279842,0.812278329293445,0.105355169294788,0.305855969648568,1.81997954085457,1.28179669271696
575,1.2,1,0.8,0.8,1.2,0,3.28,6.19593452770455,12.28,8.02170606419447e-07,3.25770716629282,0.795958951211825,0.109973299817773,0.326475817119678,1.82124292209305,1.28012604931812
576,1.2,1,0.8,0.8,1.2,0.1,3.32,6.16742639918867,12.32,8.89999411872281e-07,3.25162157909986,0.779742449607658,0.114904637252727,0.350188644382872,1.82230894617601,1.27703567987346
577,1.2,1,0.8,1,0.8,-0.1,3.3,4.31623825893846,11.42,2.07125179257632e-08,3.35162846738395,0.655621053077061,0.11685764688219,0.333798938865206,1.78788380199678,1.22379460569636
578,1.2,1,0.8,1,0.8,0,3.3,4.31830146268577,11.44,1.61533470467873e-08,3.33845642367261,0.645745623199376,0.118465872376059,0.345336210021516,1.7883237730254,1.22172023423803
579,1.2,1,0.8,1,0.8,0.1,3.34,4.32018991135941,11.46,1.23016619317109e-08,3.32529666919645,0.636116824378689,0.122186640364271,0.358499026228115,1.78873672845029,1.21809928536463
580,1.2,1,0.8,1,1,-0.1,3.26,4.37957702456894,11.44,2.83799606102344e-08,3.39841361169362,0.672399890042916,0.116658453398255,0.333481243873953,1.78976030900911,1.241031872616
581,1.2,1,0.8,1,1,0,3.28,4.38054697386422,11.46,2.34672042867655e-08,3.38861734916856,0.659651032251423,0.118722899222544,0.350206696189628,1.79039687294092,1.23936370735667
582,1.2,1,0.8,1,1,0.1,3.32,4.38188650018091,11.48,1.9676356821636e-08,3.3786983125727,0.647095614863631,0.123634695446608,0.369525323635788,1.79092087134901,1.23625034027388
583,1.2,1,0.8,1,1.2,-0.1,3.24,4.44534347111139,11.44,3.59299183756043e-08,3.43755862522429,0.689761756460457,0.115951953299344,0.330293137183718,1.79216639962515,1.25735635077376
584,1.2,1,0.8,1,1.2,0,3.28,4.44087830041507,11.48,3.09248814386074e-08,3.43328876964799,0.674625858586676,0.118446613480677,0.352720863949308,1.79341782523562,1.25528308924477
585,1.2,1,0.8,1,1.2,0.1,3.32,4.43867761979479,11.5,2.75566565378868e-08,3.4288422584895,0.659682916843435,0.124474551144444,0.378615511850243,1.79443814172693,1.25145329003612
586,1.2,1,0.8,1.2,0.8,-0.1,3.3,3.25694677566966,10.68,4.90035050632274e-07,3.47536766445716,0.568830035197127,0.127439108798419,0.351682649613893,1.77066269782892,1.20071729674978
587,1.2,1,0.8,1.2,0.8,0,3.34,3.26436661706946,10.7,4.68769276809947e-07,3.46242936592637,0.559398600377342,0.129434965077949,0.363910779406114,1.7710755074989,1.19824560374612
588,1.2,1,0.8,1.2,0.8,0.1,3.34,3.27166071979074,10.72,4.47665036998783e-07,3.44935955068755,0.550220000159115,0.133867170562299,0.377962801289719,1.77147508920151,1.19393735664027
589,1.2,1,0.8,1.2,1,-0.1,3.28,3.29816004548943,10.7,4.83310360931767e-07,3.52358619858307,0.585059772134432,0.126851201092699,0.351536591718928,1.77216741638648,1.22122543184794
590,1.2,1,0.8,1.2,1,0,3.32,3.30736475283913,10.72,4.57299630489857e-07,3.51459195743141,0.57304965116258,0.129457969563096,0.369256843401785,1.77266246500055,1.21923524325003
591,1.2,1,0.8,1.2,1,0.1,3.34,3.31670893047282,10.76,4.31551928739548e-07,3.50536793698406,0.561266918260131,0.135289657861464,0.389841348286609,1.77308427557674,1.21552490254636
592,1.2,1,0.8,1.2,1.2,-0.1,3.28,3.33669946726488,10.72,4.77088658461084e-07,3.56342912463967,0.601550967361471,0.125788813881599,0.348267494591872,1.77447193055094,1.23663708815508
593,1.2,1,0.8,1.2,1.2,0,3.3,3.34610738060363,10.76,4.46554469998438e-07,3.56076321552132,0.587572115896759,0.128956808970208,0.372025486550464,1.7753245640444,1.23498034495907
594,1.2,1,0.8,1.2,1.2,0.1,3.34,3.35761879655631,10.78,4.1641385291374e-07,3.55757736403437,0.57373971983677,0.13606167376743,0.399570831486728,1.77597920409648,1.23172890286043
595,1.2,1,1,0.8,0.8,-0.1,3.32,6.49237548746847,12.34,8.19950447783124e-07,3.08902070904432,0.800076559390996,0.103730807331431,0.259784790740206,1.8232793795382,1.25000942228785
596,1.2,1,1,0.8,0.8,0,3.34,6.47323606056438,12.36,8.69354197664132e-07,3.07474476333362,0.792119122904645,0.104980748284175,0.260262186272572,1.8234102158554,1.24760808140413
597,1.2,1,1,0.8,0.8,0.1,3.34,6.45428628133539,12.38,9.21321007076862e-07,3.06057657167449,0.784492115258062,0.106204186428905,0.260780819915556,1.82353478024516,1.24367533789644
598,1.2,1,1,0.8,1,-0.1,3.3,6.58280359836372,12.34,7.74501461613864e-07,3.13020227597192,0.813416168784757,0.106040534225585,0.260437584981691,1.82543749674242,1.26799635989993
599,1.2,1,1,0.8,1,0,3.32,6.55787009173326,12.36,8.3390982912731e-07,3.11639741217299,0.802437522604253,0.108139596562306,0.261103183241697,1.82558977039939,1.266042366645
600,1.2,1,1,0.8,1,0.1,3.34,6.53331451987495,12.38,8.97311995300109e-07,3.1026121030018,0.79183907325197,0.110276035499203,0.261836588788384,1.82571799991685,1.26260567207251
601,1.2,1,1,0.8,1.2,-0.1,3.28,6.67556486861392,12.34,7.26695054675812e-07,3.16794777401108,0.828205853858503,0.108244485295384,0.261280466918166,1.82785053734324,1.28178021120745
602,1.2,1,1,0.8,1.2,0,3.28,6.64367832162148,12.36,7.94903401555537e-07,3.15707135590198,0.814320897480653,0.111548314760478,0.262172323249541,1.82805011758444,1.28014367194191
603,1.2,1,1,0.8,1.2,0.1,3.32,6.61285938143607,12.38,8.6883463338331e-07,3.14645541828552,0.800750649617388,0.115061559955503,0.26948015657843,1.82812532260701,1.27710149476011
604,1.2,1,1,1,0.8,-0.1,3.3,4.65697623637548,11.54,4.44995238051952e-08,3.26070403247938,0.673032755428703,0.104984802595971,0.253003011586094,1.79357427434302,1.2237761225997
605,1.2,1,1,1,0.8,0,3.3,4.65354029112856,11.56,4.40317755309657e-08,3.24618777612902,0.665218313916572,0.106574093535577,0.262267456256426,1.79386613593037,1.22175087776939
