caseID,plantCaseID,aileronTau_s,isDynamicStable,neutralHeadingPoleMagnitude,minimumDynamicDecayRate_per_s,minimumOscillatoryDampingRatio,balancedDiskMargin,balancedDiskPhaseMargin_deg,balancedDiskGainMargin_dB,diskMarginCriticalFrequency_radps
474,158,0.075,1,0,0.572610308838219,0.559760307180813,1.5569507506099,75.799758480526,18.0925169377684,0.549540873857625
475,159,0.035,1,0,0.55868652920506,0.55252682446591,1.58185246722716,76.682793925374,18.6555631023166,0.510504999975406
476,159,0.05,1,0,0.562886017163137,0.549746690450838,1.57561226042664,76.4625130826994,18.5117517796092,0.519995996533516
477,159,0.075,1,0,0.570176726862831,0.544524943611238,1.56460315959842,76.0722564457866,18.2625182918679,0.539510622515128
478,160,0.035,1,0,0.567196933807275,0.494540464563244,1.55717412321907,75.8077269888665,18.0974426634657,0.544502652842421
479,160,0.05,1,0,0.571562755441244,0.491485804356068,1.55000077673882,75.5513964159533,17.9403336786724,0.55975760149511
480,160,0.075,1,0,0.579139342699603,0.485937178844424,1.53720357732699,75.09188842919,17.6654012456784,0.580764417521312
481,161,0.035,1,0,0.564279698127094,0.478218392227977,1.56617481650762,76.12809714612,18.2977573930094,0.529663443891658
482,161,0.05,1,0,0.568620705383058,0.475387052014843,1.5594043258517,75.8872390789313,18.1467419013213,0.544502652842421
483,161,0.075,1,0,0.576159298809245,0.470182838283462,1.54737798095774,75.4574515394697,17.8834357678426,0.564936974812303
484,162,0.035,1,0,0.561358974827503,0.461968936446694,1.57470883566055,76.4305665422127,18.4910862734167,0.515228644581756
485,162,0.05,1,0,0.565671809904838,0.459304228931004,1.56827584517896,76.2026798219234,18.3450414424771,0.529663443891658
486,162,0.075,1,0,0.573166120644739,0.454347128155188,1.55692170568023,75.7987222795138,18.0918766100403,0.549540873857625
487,163,0.035,1,0,0.4040820586196,0.581272979103343,1.43300500092459,71.2433850205489,15.6419041532174,0.457088189614875
488,163,0.05,1,0,0.406331136483057,0.577732290387024,1.42644819793434,70.9947616761777,15.5254304356239,0.465586093522959
489,163,0.075,1,0,0.410204417103637,0.571393282849598,1.41509917134053,70.562600075546,15.3264216612362,0.474241985260245
490,164,0.035,1,0,0.402125773572623,0.578856181120908,1.44092411418062,71.542637682204,15.784086685127,0.448745389933132
491,164,0.05,1,0,0.404340743051904,0.575400081295356,1.43456398756433,71.3023858268575,15.6697629358485,0.457088189614875
492,164,0.075,1,0,0.408154530950052,0.569194563937071,1.42358936427953,70.8861177758619,15.4749936573467,0.465586093522959
493,165,0.035,1,0,0.400205944205022,0.574345283229787,1.44857273677411,71.8306038196764,15.923023123078,0.444631267469109
494,165,0.05,1,0,0.402387490599333,0.570980009450921,1.44240900734042,71.5986248350233,15.8109343980202,0.448745389933132
495,165,0.075,1,0,0.406142959177233,0.564920024993971,1.43177872228858,71.1969451430658,15.6200356968398,0.461317574560379
496,166,0.035,1,0,0.403557968486181,0.49190748210879,1.42223947450032,70.8347670532159,15.4512506069805,0.461317574560379
497,166,0.05,1,0,0.405823038858773,0.488503797104657,1.41550918897336,70.5782535445848,15.3335554043924,0.469894108605215
498,166,0.075,1,0,0.409725034610242,0.482535780814148,1.40386705991902,70.1326075159484,15.1325894025286,0.483058802039773
499,167,0.035,1,0,0.401110189603527,0.481095392352662,1.43230583785678,71.2169106163788,15.6294310158739,0.452897579903621
500,167,0.05,1,0,0.403331804247494,0.477804044905657,1.42585599164584,70.9722681871281,15.5149653229835,0.461317574560379
501,167,0.075,1,0,0.407157931038977,0.472014246800772,1.41468942532482,70.5469539526997,15.3192967828283,0.469894108605215
502,168,0.035,1,0,0.39871987298806,0.468294951774861,1.44196493063233,71.5818852784099,15.8028989665547,0.444631267469109
503,168,0.05,1,0,0.400899164537964,0.465113638002686,1.43575858320218,71.3475665620476,15.6911535756105,0.448745389933132
504,168,0.075,1,0,0.4046513703373,0.459496329619558,1.42502596973784,70.9407312621864,15.5003127874542,0.461317574560379
505,169,0.035,1,0,0.403032132898726,0.420043568547298,1.41146369164915,70.4236739463501,15.2633498530564,0.469894108605215
506,169,0.05,1,0,0.405313671978588,0.416951736976153,1.40457459373877,70.159760773968,15.1447098458202,0.474241985260245
507,169,0.075,1,0,0.409245264832228,0.411594765569931,1.38104167356457,69.2517744954266,14.7477822835207,1.80301774085957
