caseID,plantCaseID,actuatorTau_s,isDynamicStable,neutralHeadingPoleMagnitude,dutchNaturalFrequency_radps,dutchDampingRatio,dutchDecayRate_radps,rollModeFrequencyRatio,rollModeDampingRatio,spiralDecayRateRatio,balancedDiskMargin,balancedDiskPhaseMargin_deg,balancedDiskGainMargin_dB,diskMarginCriticalFrequency_radps
1172,391,0.05,1,0,2.59116832598319,0.655972440575991,1.6997350107384,1.02994743332163,1,0.945615549498758,1.71976470220337,81.383311817538,22.4598526368583,12.3594743344451
1173,391,0.075,1,0,2.66318881843621,0.709743774745684,1.89018168485741,0.978678598562245,0.993714957077559,0.945599988270965,1.6729432821457,79.8230517398885,21.0078229575406,10
1174,392,0.035,1,0,2.59594150186876,0.604528534726241,1.56932071235976,0.987249195975493,1,0.945526046564369,1.71388255208544,81.1892717855322,22.2656764574745,1.24738351424294
1175,392,0.05,1,0,2.63151866030815,0.62856384181669,1.6540774789356,0.979315637046904,1,0.945516679483269,1.71327558745579,81.1692171484314,22.2458502153031,11.6949939101987
1176,392,0.075,1,0,2.72291654601879,0.678238321257022,1.84678634709475,1.0781912987304,1,0.945501060933037,1.66213289502782,79.4576666592894,20.6997637959318,9.54992586021436
1177,393,0.035,1,0,2.61560248890992,0.579226152880444,1.51502536711581,0.974401862407637,1,0.945426924749757,1.70188826979566,80.7918536958245,21.8808848324206,1.28233058265602
1178,393,0.05,1,0,2.65493189864616,0.601723328231146,1.5975344582804,0.959147875664837,1,0.94541752312417,1.70772436677335,80.9855207491862,22.0662966200479,11.2719745617551
1179,393,0.075,1,0,2.75522062177989,0.646726006904624,1.78187283086498,1.11428742244748,1,0.945401846963001,1.65335200387858,79.1594449039385,20.4560564980843,9.28966386779936
1180,394,0.035,1,0,2.37985392755861,0.548304013927251,1.30488346104092,1.01336466629049,1,0.946002613361464,1.72071789146191,81.4147024863744,22.4916725590529,1.22461619926505
1181,394,0.05,1,0,2.40164947737509,0.565399106441095,1.3578904684926,1.01888521259578,1,0.945993407568891,1.7317267646496,81.7761791380538,22.8666498109553,1.20226443461741
1182,394,0.075,1,0,2.45169721851793,0.597918463490928,1.46591503384122,1.08149659356038,1,0.945978058002691,1.71393885709921,81.1911318471392,22.267517603789,9.6382902362397
1183,395,0.035,1,0,2.40105049207164,0.520032753032584,1.24862489756225,0.990610274150771,1,0.945885396977735,1.70645711638647,80.9435152923726,22.0257484701926,1.24738351424294
1184,395,0.05,1,0,2.42607726933728,0.536073128178428,1.30055483097621,0.987037910473283,1,0.945876150705841,1.71834844557369,81.336643973,22.4127586508499,1.22461619926505
1185,395,0.075,1,0,2.48310243196522,0.565907590710328,1.40520651476039,0.966653462919858,1,0.945860733631105,1.70565474818229,80.916905658835,22.000158393389,9.20449571753171
1186,396,0.035,1,0,2.41159310087389,0.493642186834835,1.19046409207119,0.981346542878373,1,0.945767773915197,1.69120551781979,80.4359054409467,21.549973900393,1.28233058265602
1187,396,0.05,1,0,2.43825978235779,0.508603054068629,1.24010637191988,0.974355195845611,1,0.945758486920166,1.70408640789828,80.8648629789819,21.9503239060927,1.25892541179417
1188,396,0.075,1,0,2.49814411164191,0.535797833285559,1.33850020225281,0.938324811910339,1,0.945743001930612,1.69865102923985,80.6841871891708,21.7794728941714,8.87156012037961
1189,397,0.035,1,0,2.06021030768256,0.811465015270883,1.67178858878486,1.04348149549641,1,0.93501278354721,1.65934912764316,79.363261983837,20.6218868154019,15.4170045294956
1190,397,0.05,1,0,1.96680678304618,0.817107255364174,1.6070920923265,1.03934497420912,0.989680845379476,0.935001797202123,1.61228027500607,77.7473625603065,19.3852708722902,13.0617088813184
1191,397,0.075,1,0,1.8432297896653,0.819181724690861,1.50994015809959,0.969674929435575,1,0.934983478943941,1.55507078793079,75.7326592211592,18.0511466444245,10.7646521362983
1192,398,0.035,1,0,2.12877841209178,0.810940016265749,1.72631160012788,0.96858147385817,1,0.93491879911947,1.65247991073088,79.1297560842785,20.4321584157275,14.7231250243272
1193,398,0.05,1,0,2.02031128403694,0.819132295390042,1.65490221949558,0.887128052192555,1,0.934907780744569,1.60201163447432,77.3898614033285,19.133494696265,12.4738351424294
1194,398,0.075,1,0,1.87959417564765,0.822094952496731,1.54520488454219,1.02272835711035,1,0.934889409070344,1.53979981459808,75.1853413818623,17.7206382575314,10.2801629812647
