caseID,plantCaseID,aileronTau_s,isStable,minimumDecayRate_per_s,minimumOscillatoryDampingRatio,balancedDiskPhaseMargin_deg,balancedDiskGainMargin_dB,diskMarginCriticalFrequency_radps
581,194,0.05,1,0.122027891426416,0.525358528825156,63.7725125720965,12.6543666392322,0.283139199579938
582,194,0.075,1,0.122057681429448,0.519993672328261,63.7661836422293,12.65219587008,0.283139199579938
583,195,0.035,1,0.122005500619684,0.511669027482309,63.7695847253542,12.6533623521932,0.280543363795171
584,195,0.05,1,0.122023339645817,0.508693731400549,63.7659754085956,12.652124455982,0.283139199579938
585,195,0.075,1,0.122053121903299,0.503488740337184,63.7592641600546,12.6498231032386,0.283139199579938
586,196,0.035,1,0.121939074154261,0.460141780314929,63.652736564265,12.6133667771184,0.283139199579938
587,196,0.05,1,0.121956966550474,0.457324588333054,63.6491719822368,12.6121492591314,0.283139199579938
588,196,0.075,1,0.121986838002926,0.452496536320781,63.643028714413,12.6100513245183,0.285759054337495
589,197,0.035,1,0.121933661119337,0.441439170605322,63.6452734777113,12.6108178617028,0.283139199579938
590,197,0.05,1,0.121951547927048,0.438679187966444,63.6414310208332,12.6095057843012,0.283139199579938
591,197,0.075,1,0.121981410054382,0.433923717259065,63.6351186751099,12.6073507034757,0.283139199579938
592,198,0.035,1,0.121928252391298,0.422116117737316,63.6379048957716,12.6083018804478,0.283139199579938
593,198,0.05,1,0.12194613361564,0.419378295123927,63.6337867980897,12.6068960521573,0.283139199579938
594,198,0.075,1,0.121975986426399,0.414631606078704,63.6270124029466,12.6045838655645,0.283139199579938
595,199,0.035,1,0.124135927680946,0.640930971562849,65.5259734902574,13.2754517727811,0.275422870333817
596,199,0.05,1,0.124152131816355,0.636321864407035,65.5264435118303,13.2756237689149,0.275422870333817
597,199,0.075,1,0.124179180324269,0.628036923009422,65.5272840791142,13.2759313674682,0.275422870333817
598,200,0.035,1,0.124131912399251,0.63782303392137,65.514594550921,13.271288795527,0.275422870333817
599,200,0.05,1,0.124148113462446,0.633400646978451,65.5149305363163,13.2714116895433,0.275422870333817
600,200,0.075,1,0.124175156845988,0.62543210773153,65.5155469170597,13.2716371484131,0.275422870333817
601,201,0.035,1,0.124127899279264,0.630747576005595,65.5032501785248,13.2671402713087,0.275422870333817
602,201,0.05,1,0.124144097272067,0.626546602385033,65.5034526260008,13.2672142885389,0.275422870333817
603,201,0.075,1,0.124171135534292,0.618956334507121,65.5038456527513,13.2673579854808,0.275422870333817
