delayPlantCaseID,sensorDelay_s,delayDiskMargin,delayPhaseMargin_deg,delayGainMargin_dB,delayCriticalFrequency_radps
27,0.08,1.35002512934375,68.0396891059386,14.2430299706483,7.11213513653329
28,0,1.72012647279696,81.3952274796264,22.4719176725164,12.3594743344451
28,0.01,1.67148599657564,79.7739095348661,20.9657597865966,11.6949939101987
28,0.02,1.62473469878142,78.1785610277288,19.6987563171508,10.9647819614319
28,0.04,1.53635337018971,75.061259275224,17.6473709619474,9.90831944892768
28,0.06,1.45381635215205,72.0274192573881,16.0192109531925,9.03649473722302
28,0.08,1.37610145934535,69.0598887958656,14.6660303975794,8.31763771102671
29,0,1.71381096105683,81.1869066687797,22.2633359488258,11.8032063565173
29,0.01,1.66506620217032,79.5570029309875,20.7824569950403,11.0662378397767
29,0.02,1.61809606432156,77.9490443237904,19.530519193578,10.471285480509
29,0.04,1.52894560737388,74.7938579677164,17.4914781304724,9.46237161365793
29,0.06,1.44530067820614,71.707540696603,15.8633898949917,8.6297854776697
29,0.08,1.36622835440624,68.6750734929258,14.5042153699392,8.01678063387679
30,0,1.70847146124455,81.0102723217991,22.0902773085985,11.3762728582343
30,0.01,1.65950618326558,79.3685915804277,20.6262651127068,10.7646521362983
30,0.02,1.61223403198434,77.7457566320311,19.3841237808214,10.1859138805412
30,0.04,1.52228031078627,74.5524395391132,17.3530154803379,9.20449571753171
30,0.06,1.43760510377328,71.4173534239385,15.7242922938353,8.39459986519397
30,0.08,1.35735446143112,68.3276902042941,14.3605139709665,7.79830110523259
31,0,1.73081119295451,81.7461913128965,22.8349254641887,1.21338885046498
31,0.01,1.72408189772241,81.5253686252046,22.6047805758631,11.1686324778056
31,0.02,1.68479958513111,80.2215593272154,21.3565418256813,10.471285480509
31,0.04,1.61002257437172,77.6689147312464,19.3294089927273,9.46237161365793
31,0.06,1.53961116932176,75.1785549439302,17.7166155605856,8.6297854776697
31,0.08,1.47278469986764,72.735293804397,16.3737970834938,7.94328234724282
32,0,1.71751241869392,81.3090802565017,22.3850613567509,1.23594743344451
32,0.01,1.72022938976075,81.3986168731601,22.4753525843415,10.5681750921366
32,0.02,1.68085481888147,80.0892282093952,21.2392079397322,10
32,0.04,1.60560045402812,77.5150094061119,19.2208238687167,9.03649473722302
32,0.06,1.53434300468831,74.9887847535604,17.6048512716071,8.24138115013002
32,0.08,1.46638341190679,72.4971210250576,16.2529455216504,7.58577575029184
33,0,1.70331242071754,80.8391646899702,21.9258197329796,1.27057410520854
33,0.01,1.71133922820938,81.1051979508701,22.1828576720319,1.24738351424294
33,0.02,1.67690179293108,79.9563618400878,21.1229496465024,9.6382902362397
33,0.04,1.60104342369651,77.3560607528892,19.1100546026368,8.70963589956081
33,0.06,1.52895483786936,74.7941917603353,17.491671054792,7.94328234724282
33,0.08,1.45997703213283,72.2580298031821,16.1332196914512,7.31139083483417
34,0,1.72408198741597,81.5253715734116,22.6047836086105,1.20226443461741
34,0.01,1.73104407388158,81.7538201771401,22.8429852281089,1.19124200802737
34,0.02,1.72832308129521,81.6646292486955,22.7492159315426,10.1859138805412
34,0.04,1.66362749992445,79.5082992654981,20.7418165431639,9.1201083935591
34,0.06,1.60235543046398,77.4018596265776,19.1418300979969,8.31763771102671
