caseID,sideForceScale,rollMomentScale,yawMomentScale,aileronEffectivenessScale,inertiaScale,IxzNormalized,riseTime_s,overshoot_pct,settlingTime_s,finalHeadingError_deg,peakBank_deg,peakRollRate_degps,peakYawRate_degps,peakSideslip_deg,peakAutomaticAileron_deg,peakAutomaticRudder_deg,peakAileronRate_degps
329,1,1,0.8,0.8,1,0,16.36,0,32.82,0.000152603066267522,15.5743493660753,5.46826531114301,2.60681741041483,0.560383551934891,1.32661771956176,0.181274683354679,2.18385816560065
330,1,1,0.8,0.8,1,0.1,16.32,0,32.82,0.000152582795403009,15.5512068111228,5.44510653331886,2.60090879221932,0.590569960968969,1.30167223054636,0.188103802426947,2.17781121026965
331,1,1,0.8,0.8,1.2,-0.1,16.36,0,32.84,0.000153491882769087,15.6351787098236,5.55772425305041,2.63272610768696,0.529063541035458,1.38438186426045,0.178080282305653,2.21109198371229
332,1,1,0.8,0.8,1.2,0,16.32,0,32.84,0.000153467112990894,15.6097651957208,5.54242326602204,2.61990515253458,0.564479103793374,1.35426625095909,0.181176501220904,2.20820434264972
333,1,1,0.8,0.8,1.2,0.1,16.3,0,32.84,0.000153442334860565,15.5854600536085,5.52733315231779,2.60542852079898,0.60516187309691,1.32441436207205,0.189583632116916,2.20286746477752
334,1,1,0.8,1,0.8,-0.1,16.6,0,32.6,0.000130721381383435,15.2507154251645,5.7041309376607,2.55469347332702,0.576033571876326,1.11641165261636,0.200627820930187,2.11103954566768
335,1,1,0.8,1,0.8,0,16.6,0,32.6,0.000130708721128275,15.2375975595172,5.67678435011751,2.55244872751273,0.59557526508478,1.09782206914753,0.203409898648112,2.1074564838045
336,1,1,0.8,1,0.8,0.1,16.58,0,32.6,0.000130696057419033,15.2244286132842,5.64939017820716,2.55063717357134,0.618007691486309,1.07960861357171,0.209864938646503,2.10120541562816
337,1,1,0.8,1,1,-0.1,16.58,0,32.6,0.000131363015537404,15.2835428135841,5.78793767468972,2.56778887481992,0.576118545399085,1.146881519911,0.200199763359136,2.14077511938081
338,1,1,0.8,1,1,0,16.56,0,32.6,0.000131346922770382,15.2691533575688,5.76614864628136,2.5610276309615,0.604688574031805,1.12331582881445,0.20381689337697,2.1378935972618
