caseID,sideForceScale,rollMomentScale,yawMomentScale,rudderEffectivenessScale,inertiaScale,IxzNormalized,initialYawRateIntegralRatio,initialBetaIntegralRatio,peakInitialActuatorPosition_deg,peakInitialActuatorRate_degps
359,1,1,1,0.8,1.2,0,0.750334603098529,0.627602767295562,1.00894027353425,14.560790226754
360,1,1,1,0.8,1.2,0.1,0.704148922165727,0.577236113156427,1.01870288453673,14.5963621409808
361,1,1,1,1,0.8,-0.1,0.735356469996456,0.679491418775819,0.927693385446269,14.3365650476157
362,1,1,1,1,0.8,0,0.706421561088098,0.638715866887251,0.940594517871393,14.3954804955884
363,1,1,1,1,0.8,0.1,0.673487888225853,0.598635926551628,0.951459887212821,14.4462206770356
364,1,1,1,1,1,-0.1,0.747720659046284,0.664988981140159,0.962086048235488,14.4419445112347
365,1,1,1,1,1,0,0.714567685820002,0.617146636205974,0.973575570423075,14.4906409677059
366,1,1,1,1,1,0.1,0.674432151052507,0.567581279305334,0.984076737980428,14.532565151897
367,1,1,1,1,1.2,-0.1,0.75919239444512,0.653608112275915,0.987942373434608,14.5127967468108
368,1,1,1,1,1.2,0,0.721537858650577,0.598054467437613,0.999688715165603,14.5542752320005
369,1,1,1,1,1.2,0.1,0.675216757125683,0.544681405755105,1.00955061757979,14.5899766063755
370,1,1,1,1.2,0.8,-0.1,0.709525086755944,0.663272120197784,0.916720078498398,14.3264925038907
371,1,1,1,1.2,0.8,0,0.680167747871378,0.622276396985869,0.92983906120901,14.3857655902278
372,1,1,1,1.2,0.8,0.1,0.64702027971002,0.582154018557915,0.940788392065002,14.4366874576882
373,1,1,1,1.2,1,-0.1,0.722156836319885,0.647744056448886,0.953090486571489,14.4338497489231
374,1,1,1,1.2,1,0,0.688577499339086,0.599856811244435,0.964789510313022,14.4828418144452
375,1,1,1,1.2,1,0.1,0.648354934114994,0.550576078023419,0.97454463512209,14.5249172724048
376,1,1,1,1.2,1.2,-0.1,0.734224097597315,0.636292089687307,0.978497982178921,14.5060305599006
377,1,1,1,1.2,1.2,0,0.696178313377027,0.580395200734342,0.990471657227989,14.5477607969154
378,1,1,1,1.2,1.2,0.1,0.649905851603836,0.523842291086665,1.00043172638056,14.5835916080286
379,1,1,1.2,0.8,0.8,-0.1,0.780673612184955,0.727692521601161,0.917446401083767,14.2617325634738
380,1,1,1.2,0.8,0.8,0,0.75451484841458,0.691454411629268,0.930040647253889,14.3207805012885
381,1,1,1.2,0.8,0.8,0.1,0.726694292634415,0.656775101646239,0.940499106806488,14.3703874997859
382,1,1,1.2,0.8,1,-0.1,0.789365383115891,0.711878640615375,0.953569603810588,14.3816856182062
383,1,1,1.2,0.8,1,0,0.760035306640347,0.669324661464261,0.964815030380104,14.4305346532421
384,1,1,1.2,0.8,1,0.1,0.725258246583595,0.628236073258856,0.974344062410238,14.4715565839066
385,1,1,1.2,0.8,1.2,-0.1,0.797451898349664,0.700063209864021,0.980193893053219,14.4623628640027
